City,City_EN,num,lat,lon,Province,Province_EN
七台河,Qitaihe,0,45.770035,131.007499,黑龙江,Heilongjiang
三亚,Sanya,0,18.253466,109.503439,海南,Hainan
三明,Sanming,0,26.236795,117.603849,福建,Fujian
三门峡,Sanmenxia,0,34.767884,111.19084,河南,Henan
上海,Shanghai,1,31.225344,121.488892,上海,Shanghai
上饶,Shangrao,0,28.447741,117.970553,江西,Jiangxi
东莞,Dongguan,0,23.044471,113.746551,广东,Guangdong
东营,Dongying,0,37.433474,118.668935,山东,Shandong
中卫,Zhongwei,0,37.506217,105.169082,宁夏,Ningxia
中山,Zhongshan,0,22.521381,113.365614,广东,Guangdong
临汾,Linfen,0,36.229963,111.381767,山西,Shanxi
临沂,Linyi,0,35.10324,118.350699,山东,Shandong
临沧,Lincang,0,23.880738,100.087998,云南,Yunnan
丹东,Dandong,0,40.119283,124.368745,辽宁,Liaoning
丽水,Lishui,0,28.470406,119.91843,浙江,Zhejiang
丽江,Lijiang,0,26.874087,100.235633,云南,Yunnan
乌兰察布,Ulanqab,0,40.990269,113.131565,内蒙古,Neimenggu
乌海,Wuhai,0,39.673309,106.818632,内蒙古,Neimenggu
乌鲁木齐,Urumqi,0,43.419754,87.319461,新疆,Xinjiang
乐山,Leshan,0,29.560876,103.761992,四川,Sichuan
九江,Jiujiang,0,29.727536,115.991313,江西,Jiangxi
云浮,Yunfu,0,22.931119,112.035945,广东,Guangdong
亳州,Bozhou,0,33.858646,115.78062,安徽,Anhui
伊春,Yichun,0,47.721146,128.879996,黑龙江,Heilongjiang
伊犁,Yili,0,42.997251,0.594725,新疆,Xinjiang
佛山,Foshan,0,23.024769,113.114634,广东,Guangdong
佳木斯,Jiamusi,0,46.808779,130.373456,黑龙江,Heilongjiang
保定,Baoding,0,38.857974,115.490696,河北,Hebei
保山,Baoshan,0,25.118073,99.165417,云南,Yunnan
信阳,Xinyang,0,32.127372,114.06766,河南,Henan
儋州,Danzhou,0,19.51738,109.569719,海南,Hainan
克孜勒苏柯尔克孜,Kezilesukeerkezi,0,39.712422,76.171518,新疆,xinjiang
克拉玛依,Karamay,0,45.598304,84.86585,新疆,Xinjiang
六安,"Lu'an",0,31.738349,116.514225,安徽,Anhui
六盘水,Liupanshui,0,26.592964,104.843637,贵州,Guizhou
兰州,Lanzhou,0,36.059311,103.823916,甘肃,Gansu
兴安盟,Xinganmeng,0,39.78373,-100.445882,内蒙古,Neimenggu
内江,Neijiang,0,29.624191,105.13662,四川,Sichuan
凉山,Liangshan,0,27.746288,102.096615,四川,Sichuan
包头,Baotou,0,40.660201,109.830324,内蒙古,Neimenggu
北京,Beijing,1,39.905963,116.391248,北京,Beijing
北海,Beihai,0,21.479908,109.106806,广西,Guangxi
十堰,Shiyan,0,32.655225,110.78109,湖北,Hubei
南京,Nanjing,0,32.060974,118.791646,江苏,Jiangsu
南充,Nanchong,0,30.79557,106.083554,四川,Sichuan
南宁,Nanning,0,22.832567,108.302725,广西,Guangxi
南平,Nanping,0,26.641737,118.173639,福建,Fujian
南昌,Nanchang,0,28.67927,115.888599,江西,Jiangxi
南通,Nantong,0,31.98279,120.890459,江苏,Jiangsu
南阳,Nanyang,0,33.00105,112.529269,河南,Henan
博尔塔拉,Boertala,0,44.716338,82.245309,新疆,Xinjiang
厦门,Xiamen,0,24.458696,118.074539,福建,Fujian
双鸭山,Shuangyashan,0,46.644003,131.152446,黑龙江,Heilongjiang
台州,Taizhou,0,32.484955,119.911728,浙江,Zhejiang
合肥,Hefei,0,31.822809,117.221803,安徽,Anhui
吉安,"Ji'an",0,27.114479,114.983574,江西,Jiangxi
吉林,Jilin,0,42.999503,125.981605,吉林,Jilin
吐鲁番,Tulufan,0,43.13394,89.307044,新疆,Xinjiang
